OBJECTID_1,OBJECTID,CustomerID,Count_,Country,State,City,Zip_Code,Lat_Long,Lat_Long_X,Lat_Long_Y,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason,NEAR_FID,NEAR_DIST,BUFF_DIST,No_in_mile,Shape_Length,Shape_Area
2131,2131,5160-UXJED,1,United States,California,San Diego,92101,"32.72523, -117.171346",-117.171346000000000,32.725230000000003,32.725230000000003,-117.171346000000000,Male,No,No,No,17,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,44.600000000000001,681.399999999999977,No,0,67,2130,,527,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2132,2132,4115-NZRKS,1,United States,California,San Diego,92102,"32.716007, -117.117462",-117.117462000000003,32.716006999999998,32.716006999999998,-117.117462000000003,Female,Yes,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.150000000000006,574.350000000000023,No,0,25,2415,,528,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2133,2133,3351-NGXYI,1,United States,California,San Diego,92106,"32.71346, -117.236378",-117.236378000000002,32.713459999999998,32.713459999999998,-117.236378000000002,Female,Yes,No,No,16,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.100000000000001,889.000000000000000,No,0,38,2276,,532,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2134,2134,8984-EYLLL,1,United States,California,San Diego,92107,"32.741852, -117.243453",-117.243453000000002,32.741852000000002,32.741852000000002,-117.243453000000002,Male,No,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,105.250000000000000,6823.399999999999636,No,0,72,5682,,532,10612.343817687969931,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2135,2135,9833-TGFHX,1,United States,California,San Diego,92109,"32.787836, -117.232376",-117.232376000000002,32.787835999999999,32.787835999999999,-117.232376000000002,Male,No,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,97.099999999999994,4016.750000000000000,No,0,71,2170,,1393,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2136,2136,9294-TDIPC,1,United States,California,San Diego,92110,"32.76501, -117.19938",-117.199380000000005,32.765009999999997,32.765009999999997,-117.199380000000005,Male,No,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.199999999999999,83.750000000000000,No,0,58,5169,,534,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2137,2137,5229-DTFYB,1,United States,California,San Diego,92111,"32.805518, -117.169052",-117.169051999999994,32.805517999999999,32.805517999999999,-117.169051999999994,Female,No,No,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),98.799999999999997,3959.150000000000091,No,0,69,5584,,1394,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2138,2138,0104-PPXDV,1,United States,California,San Diego,92113,"32.697098, -117.116587",-117.116586999999996,32.697097999999997,32.697097999999997,-117.116586999999996,Male,No,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.299999999999997,2878.550000000000182,No,0,30,5232,,957,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2139,2139,5176-LMJXE,1,United States,California,San Diego,92114,"32.707892, -117.05512",-117.055120000000002,32.707892000000001,32.707892000000001,-117.055120000000002,Female,No,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.550000000000001,945.700000000000045,No,0,53,5404,,1850,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2140,2140,3583-KRKMD,1,United States,California,San Diego,92115,"32.762506, -117.07245",-117.072450000000003,32.762506000000002,32.762506000000002,-117.072450000000003,Male,No,No,No,18,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.900000000000006,1373.049999999999955,No,0,62,4668,,535,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2141,2141,9069-LGEUL,1,United States,California,San Diego,92117,"32.825086, -117.199424",-117.199423999999993,32.825085999999999,32.825085999999999,-117.199423999999993,Male,No,Yes,No,23,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.950000000000003,1406.000000000000000,No,0,42,5379,,536,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2142,2142,7302-ZHMHP,1,United States,California,Coronado,92118,"32.68674, -117.186612",-117.186611999999997,32.686740000000000,32.686740000000000,-117.186611999999997,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.149999999999999,19.149999999999999,No,0,51,2577,,537,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2143,2143,9571-EDEBV,1,United States,California,San Diego,92119,"32.802959, -117.027095",-117.027095000000003,32.802959000000001,32.802959000000001,-117.027095000000003,Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),98.650000000000006,6962.850000000000364,No,0,28,5101,,959,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2144,2144,3520-FJGCV,1,United States,California,San Diego,92120,"32.807867, -117.060993",-117.060992999999996,32.807867000000002,32.807867000000002,-117.060992999999996,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),112.599999999999994,8126.649999999999636,No,0,70,6486,,960,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2145,2145,6563-VRERX,1,United States,California,San Diego,92121,"32.898613, -117.202937",-117.202937000000006,32.898612999999997,32.898612999999997,-117.202937000000006,Male,No,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.600000000000001,690.250000000000000,No,0,52,5212,,961,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2146,2146,6122-EFVKN,1,United States,California,San Diego,92123,"32.808814, -117.134694",-117.134693999999996,32.808813999999998,32.808813999999998,-117.134693999999996,Male,No,No,No,24,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,35.750000000000000,830.799999999999955,No,0,64,5531,,1852,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2147,2147,2805-EDJPQ,1,United States,California,San Diego,92124,"32.827238, -117.089287",-117.089286999999999,32.827238000000001,32.827238000000001,-117.089286999999999,Female,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),99.750000000000000,5608.399999999999636,No,0,68,5926,,1396,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2148,2148,6862-CQUMB,1,United States,California,San Diego,92126,"32.886925, -117.152162",-117.152162000000004,32.886924999999998,32.886924999999998,-117.152162000000004,Male,No,No,No,37,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.099999999999994,3646.800000000000182,No,0,75,2640,,1397,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2149,2149,7156-MXBJE,1,United States,California,San Diego,92127,"33.017518, -117.118456",-117.118455999999995,33.017518000000003,33.017518000000003,-117.118455999999995,Female,No,No,No,43,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),85.099999999999994,3662.250000000000000,No,0,5,2319,,962,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2150,2150,6158-HDPXZ,1,United States,California,San Diego,92128,"33.000269, -117.072093",-117.072092999999995,33.000269000000003,33.000269000000003,-117.072092999999995,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.350000000000001,25.350000000000001,No,0,51,4193,,963,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2151,2151,2863-IMQDR,1,United States,California,San Diego,92130,"32.957195, -117.202542",-117.202541999999994,32.957194999999999,32.957194999999999,-117.202541999999994,Female,No,No,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,89.650000000000006,5308.699999999999818,No,0,48,6149,,965,0.000000000000000,5280.000000000000000,3,33175.218421908211894,87582576.633837684988976
2152,2152,5686-CMAWK,1,United States,California,San Diego,92131,"32.89325, -117.087091",-117.087091000000001,32.893250000000002,32.893250000000002,-117.087091000000001,Male,No,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,86.750000000000000,1410.250000000000000,No,0,29,5863,,1397,20203.999304273238522,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2153,2153,5651-CRHKQ,1,United States,California,San Diego,92139,"32.677716, -117.047666",-117.047666000000007,32.677715999999997,32.677715999999997,-117.047666000000007,Female,No,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),86.200000000000003,3339.050000000000182,No,0,62,5325,,540,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2154,2154,8204-YJCLA,1,United States,California,San Ysidro,92173,"32.555828, -117.040073",-117.040073000000007,32.555827999999998,32.555827999999998,-117.040073000000007,Male,Yes,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),64.799999999999997,4732.350000000000364,No,0,68,4886,,966,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2155,2155,6583-SZVGP,1,United States,California,Indio,92203,"33.752938, -116.230055",-116.230054999999993,33.752938000000000,33.752938000000000,-116.230054999999993,Male,No,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.099999999999994,5067.449999999999818,No,0,76,5994,,99,14421.170159673125454,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2156,2156,1708-PBBOA,1,United States,California,Banning,92220,"33.936298, -116.849577",-116.849576999999996,33.936298000000001,33.936298000000001,-116.849576999999996,Female,No,No,No,42,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,54.750000000000000,2348.449999999999818,No,0,62,3179,,543,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2157,2157,8782-LKFPK,1,United States,California,Beaumont,92223,"33.946982, -116.977672",-116.977671999999998,33.946981999999998,33.946981999999998,-116.977671999999998,Male,No,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.400000000000006,4063.000000000000000,No,0,63,4751,,1856,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2158,2158,5522-JBWMO,1,United States,California,Blythe,92225,"33.674583, -114.71612",-114.716120000000004,33.674582999999998,33.674582999999998,-114.716120000000004,Male,No,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.000000000000000,44.000000000000000,No,0,29,4020,,1402,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2159,2159,3597-MVHJT,1,United States,California,Brawley,92227,"33.03933, -115.191857",-115.191856999999999,33.039330000000000,33.039330000000000,-115.191856999999999,Female,No,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.599999999999994,2595.250000000000000,No,0,21,2026,,970,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2160,2160,9774-NRNAU,1,United States,California,Cabazon,92230,"33.929812, -116.76058",-116.760580000000004,33.929811999999998,33.929811999999998,-116.760580000000004,Male,Yes,Yes,No,27,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.799999999999997,2309.550000000000182,No,0,75,5352,,1857,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2161,2161,0224-RLWWD,1,United States,California,Calexico,92231,"32.690654, -115.431225",-115.431224999999998,32.690654000000002,32.690654000000002,-115.431224999999998,Female,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.299999999999997,89.299999999999997,No,0,44,3805,,971,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2162,2162,9967-ATRFS,1,United States,California,Calipatria,92233,"33.143826, -115.497485",-115.497484999999998,33.143825999999997,33.143825999999997,-115.497484999999998,Female,No,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.899999999999999,367.550000000000011,No,0,21,3245,,1858,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2163,2163,3951-NJCVI,1,United States,California,Cathedral City,92234,"33.829583, -116.474131",-116.474131000000000,33.829583000000000,33.829583000000000,-116.474131000000000,Female,Yes,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.049999999999997,3944.500000000000000,No,0,34,2677,,549,27659.646636767167365,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2164,2164,2977-CEBSX,1,United States,California,Coachella,92236,"33.680031, -116.171678",-116.171678000000000,33.680031000000000,33.680031000000000,-116.171678000000000,Female,No,No,No,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.049999999999997,5965.949999999999818,No,0,74,5813,,1403,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2165,2165,0177-PXBAT,1,United States,California,Desert Center,92239,"33.889605, -115.257009",-115.257008999999996,33.889605000000003,33.889605000000003,-115.257008999999996,Male,Yes,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.900000000000006,3694.699999999999818,No,0,59,5655,,544,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2166,2166,2519-ERQOJ,1,United States,California,Desert Hot Springs,92241,"33.832799, -116.250973",-116.250973000000002,33.832799000000001,33.832799000000001,-116.250973000000002,Male,Yes,No,No,33,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.600000000000001,1803.700000000000045,No,0,30,5322,,973,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2167,2167,5876-QMYLD,1,United States,California,Earp,92242,"34.137742, -114.36514",-114.365139999999997,34.137742000000003,34.137742000000003,-114.365139999999997,Female,No,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.050000000000001,415.100000000000023,No,0,9,3742,,1408,72123.944493905641139,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2168,2168,2277-AXSDC,1,United States,California,El Centro,92243,"32.770393, -115.60915",-115.609150000000000,32.770392999999999,32.770392999999999,-115.609150000000000,Female,No,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.750000000000000,624.149999999999977,No,0,46,4691,,1860,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2169,2169,9442-JTWDL,1,United States,California,Heber,92249,"32.730583, -115.501083",-115.501082999999994,32.730583000000003,32.730583000000003,-115.501082999999994,Female,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.050000000000001,237.699999999999989,No,0,48,5355,,545,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2170,2170,3067-SVMTC,1,United States,California,Imperial,92251,"32.858595, -115.662709",-115.662709000000007,32.858595000000001,32.858595000000001,-115.662709000000007,Female,No,Yes,No,68,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),55.899999999999999,3848.800000000000182,No,0,77,5160,,1404,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2171,2171,5495-GPSRW,1,United States,California,Joshua Tree,92252,"34.167236, -116.281511",-116.281510999999995,34.167236000000003,34.167236000000003,-116.281510999999995,Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.699999999999999,419.399999999999977,No,0,56,2120,,1405,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2172,2172,7606-BPHHN,1,United States,California,La Quinta,92253,"33.695532, -116.310571",-116.310570999999996,33.695532000000000,33.695532000000000,-116.310570999999996,Male,No,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.800000000000001,1468.750000000000000,No,0,9,5368,,547,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2173,2173,4742-DRORA,1,United States,California,Mecca,92254,"33.543835, -115.993906",-115.993905999999996,33.543835000000001,33.543835000000001,-115.993905999999996,Male,No,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),95.400000000000006,5812.000000000000000,No,0,46,4149,,108,38462.355885190685512,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2174,2174,0111-KLBQG,1,United States,California,Morongo Valley,92256,"34.097863, -116.594561",-116.594560999999999,34.097862999999997,34.097862999999997,-116.594560999999999,Male,Yes,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.950000000000003,2861.449999999999818,No,0,62,2844,,980,49344.065341410285328,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2175,2175,4163-NCJAK,1,United States,California,Palm Desert,92260,"33.694501, -116.412711",-116.412711000000002,33.694501000000002,33.694501000000002,-116.412711000000002,Female,No,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.449999999999999,1066.150000000000091,No,0,76,2438,,549,25804.206746858533734,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2176,2176,5233-AOZUF,1,United States,California,Palm Springs,92262,"33.839989, -116.659215",-116.659215000000003,33.839989000000003,33.839989000000003,-116.659215000000003,Female,No,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.950000000000003,2149.050000000000182,No,0,80,3483,,975,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2177,2177,5973-EJGDP,1,United States,California,Palm Springs,92264,"33.745746, -116.514215",-116.514214999999993,33.745745999999997,33.745745999999997,-116.514214999999993,Male,No,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.349999999999994,4473.000000000000000,No,0,28,4899,,1865,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2178,2178,1996-DBMUS,1,United States,California,Palo Verde,92266,"33.3249, -114.758334",-114.758334000000005,33.324900000000000,33.324900000000000,-114.758334000000005,Female,Yes,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.650000000000006,3545.050000000000182,No,0,71,5523,,1402,128520.774682937568286,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2179,2179,7916-VCCPB,1,United States,California,Parker Dam,92267,"34.273872, -114.192901",-114.192901000000006,34.273871999999997,34.273871999999997,-114.192901000000006,Female,No,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),73.250000000000000,1195.750000000000000,No,0,22,3624,,1408,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2180,2180,4686-GEFRM,1,United States,California,Pioneertown,92268,"34.201108, -116.593456",-116.593456000000003,34.201107999999998,34.201107999999998,-116.593456000000003,Male,No,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),98.700000000000003,6858.899999999999636,No,0,57,5582,,1414,53873.433092026592931,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2181,2181,5249-QYHEX,1,United States,California,Rancho Mirage,92270,"33.763678, -116.429928",-116.429928000000004,33.763677999999999,33.763677999999999,-116.429928000000004,Female,No,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.800000000000001,1024.700000000000045,No,0,72,3021,,549,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2182,2182,2233-FAGXV,1,United States,California,Salton City,92275,"33.28156, -115.955541",-115.955540999999997,33.281559999999999,33.281559999999999,-115.955540999999997,Female,No,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.300000000000001,132.250000000000000,No,0,20,3181,,80,78596.903107293372159,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2183,2183,5605-IYGFG,1,United States,California,Thousand Palms,92276,"33.849263, -116.382778",-116.382778000000002,33.849263000000001,33.849263000000001,-116.382778000000002,Female,No,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.849999999999994,515.450000000000045,No,0,51,5501,,977,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2184,2184,7663-ZTEGJ,1,United States,California,Twentynine Palms,92277,"34.17211, -115.769773",-115.769773000000001,34.172110000000004,34.172110000000004,-115.769773000000001,Male,No,No,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),100.549999999999997,2830.449999999999818,No,0,77,3055,,551,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2185,2185,3935-TBRZZ,1,United States,California,Twentynine Palms,92278,"34.457829, -116.139589",-116.139589000000001,34.457828999999997,34.457828999999997,-116.139589000000001,Male,No,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.699999999999999,1110.500000000000000,No,0,80,3037,,979,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2186,2186,8111-BKVDS,1,United States,California,Vidal,92280,"34.264124, -114.717964",-114.717963999999995,34.264124000000002,34.264124000000002,-114.717963999999995,Female,No,No,No,10,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.700000000000003,449.300000000000011,No,0,26,2164,,1411,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2187,2187,2055-SIFSS,1,United States,California,Westmorland,92281,"33.03679, -115.60503",-115.605029999999999,33.036790000000003,33.036790000000003,-115.605029999999999,Female,Yes,Yes,No,55,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.649999999999999,2838.550000000000182,No,0,24,4763,,552,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2188,2188,2806-MLNTI,1,United States,California,White Water,92282,"33.972293, -116.654195",-116.654195000000001,33.972293000000001,33.972293000000001,-116.654195000000001,Male,Yes,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.099999999999994,5376.399999999999636,No,0,47,4621,,980,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2189,2189,8734-DKSTZ,1,United States,California,Winterhaven,92283,"32.852947, -114.850784",-114.850784000000004,32.852947000000000,32.852947000000000,-114.850784000000004,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.950000000000003,858.600000000000023,No,0,20,4922,,1413,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2190,2190,4360-PNRQB,1,United States,California,Yucca Valley,92284,"34.159534, -116.425984",-116.425984000000000,34.159534000000001,34.159534000000001,-116.425984000000000,Male,No,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.599999999999994,1395.049999999999955,No,0,78,4030,,1405,43934.638953365305497,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
2191,2191,6152-ONASV,1,United States,California,Landers,92285,"34.341737, -116.539416",-116.539416000000003,34.341737000000002,34.341737000000002,-116.539416000000003,Female,No,Yes,No,68,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),58.250000000000000,3975.699999999999818,No,0,74,4620,,1414,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2192,2192,7781-HVGMK,1,United States,California,Amboy,92304,"34.559882, -115.637164",-115.637163999999999,34.559882000000002,34.559882000000002,-115.637163999999999,Female,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),65.200000000000003,4784.449999999999818,No,0,27,5092,,553,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2193,2193,2181-UAESM,1,United States,California,Angelus Oaks,92305,"34.1678, -116.86433",-116.864329999999995,34.167800000000000,34.167800000000000,-116.864329999999995,Male,No,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.450000000000003,119.500000000000000,No,0,25,3477,,554,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2194,2194,6048-NJXHX,1,United States,California,Apple Valley,92308,"34.424926, -117.184503",-117.184503000000007,34.424925999999999,34.424925999999999,-117.184503000000007,Male,No,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.750000000000000,899.450000000000045,No,0,53,2011,,556,0.000000000000000,5280.000000000000000,2,33175.218421908211894,87582576.633837684988976
2195,2195,2320-SLKMB,1,United States,California,Baker,92309,"35.28952, -116.092214",-116.092213999999998,35.289520000000003,35.289520000000003,-116.092213999999998,Female,No,No,No,26,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.450000000000003,1183.799999999999955,No,0,26,3080,,557,0.000000000000000,5280.000000000000000,1,33175.218421908211894,87582576.633837684988976
2196,2196,4980-URKXC,1,United States,California,Fort Irwin,92310,"35.349241, -116.770281",-116.770280999999997,35.349240999999999,35.349240999999999,-116.770280999999997,Male,No,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.850000000000001,720.049999999999955,No,0,78,5744,,1428,124057.606447317899438,5280.000000000000000,0,33175.218421908211894,87582576.633837684988976
